name,frequency,rate
3f51d43f99,1,0.05
name___________________________________,1,0.05
1000.00,1,0.05
concerning,1,0.05
drive,1,0.05
mailbox-11.st1.spray.net,1,0.05
*receive,1,0.05
tired,1,0.05
responding,1,0.05
stop,1,0.05
doorstep,1,0.05
maker,1,0.05
2880e1fa26,1,0.05
mest,1,0.05
fax_____________________________________,1,0.05
phone___________________________________,1,0.05
system,2,0.1
212.78.202.111,1,0.05
value,1,0.05
"5,000",1,0.05
real,1,0.05
period,1,0.05
number,2,0.1
18:28:34,1,0.05
successleads,1,0.05
short,1,0.05
"10,000",1,0.05
13:28:49,1,0.05
saa05992,1,0.05
"1,000-",1,0.05
499.99,1,0.05
print,1,0.05
losing,1,0.05
bull,1,0.05
19:24:10,1,0.05
boys,1,0.05
big,1,0.05
413-22002842217164660,1,0.05
18:28:49,1,0.05
telephone,2,0.1
effective,1,0.05
204.216.233.160,1,0.05
phone,4,0.2
details,2,0.1
version,1,0.05
________________________________________________________________,1,0.05
13:18:16,1,0.05
l2340567,1,0.05
etc,1,0.05
customer,1,0.05
red,1,0.05
direct,1,0.05
___________________________________________________________________,1,0.05
fri,11,0.55
base,1,0.05
multiply,1,0.05
11:02:50,2,0.1
website,1,0.05
andy.kiwanuka,1,0.05
_______________________________________________________,1,0.05
___________________________________________________________________________,1,0.05
_____________________________________________________________________,1,0.05
consultant,1,0.05
200208221955.uaa06531,1,0.05
server3,1,0.05
06:02:50,2,0.1
pentoneurope.com,1,0.05
*tg0bk5nkiys5,1,0.05
20:55:12,1,0.05
44c300,1,0.05
voloon,1,0.05
enjoya2.enjoya.com,1,0.05
v6.00.2600.0000,1,0.05
bob.a.jones,1,0.05
dear,2,0.1
low,5,0.25
pricing,1,0.05
address.com,1,0.05
blue,1,0.05
x-precedence-ref,1,0.05
309-407-7378.,1,0.05
netcom17.netcom.com,1,0.05
addresses,1,0.05
promote,1,0.05
comments,1,0.05
bob.ackley,1,0.05
po1,1,0.05
needs.,1,0.05
suz0123893616943,1,0.05
5.5.2650.21,1,0.05
cdsnet.net,1,0.05
__________________________________________________________________,1,0.05
247,1,0.05
rk2jb8pp,1,0.05
11:37:45,1,0.05
65.113.29.188,1,0.05
exchange,1,0.05
discuss,2,0.1
+2.5,1,0.05
6.00.2600.0000,1,0.05
advertising,1,0.05
business,3,0.15
market,1,0.05
uaa06531,1,0.05
fzjzo,1,0.05
eighbluedarts,1,0.05
ricardo1,1,0.05
eighbellinger,1,0.05
city,1,0.05
_______________________________________________________________,1,0.05
bbvnet.com,1,0.05
size,1,0.05
_8j7bjk9^,1,0.05
maximize,1,0.05
gte.sprint.com,1,0.05
netmore.net,1,0.05
1a60a43f9b,1,0.05
732,1,0.05
buds,1,0.05
wholesale,1,0.05
cases,1,0.05
00004696,1,0.05
6.94,1,0.05
200.231.206.186,1,0.05
11:02:51,2,0.1
1.95^^^^^^,1,0.05
hurst,1,0.05
ericsson,1,0.05
plates,1,0.05
18:21:49,1,0.05
belt,1,0.05
//202.101.163.34:81/sites/merchant/sales/,1,0.05
0.99,1,0.05
nextel,1,0.05
waa06855,1,0.05
15:45:31,1,0.05
clips,1,0.05
v5.00.2615.200,1,0.05
booster,1,0.05
missouri.co.jp,1,0.05
antennas,1,0.05
request,1,0.05
chargers,1,0.05
motorola,2,0.1
hands,1,0.05
22:28:56,1,0.05
06:02:51,2,0.1
assistance,1,0.05
200.158.104.164,1,0.05
ear,1,0.05
saa13079,1,0.05
11:03:04,2,0.1
batteries,1,0.05
mailings,1,0.05
car,1,0.05
^^^^^cell,1,0.05
2667b44156,1,0.05
windows-1252,1,0.05
18070,1,0.05
000023b8700d,1,0.05
751-1457***,1,0.05
***if,1,0.05
lithium,1,0.05
1.98,1,0.05
-0300,1,0.05
1.99,1,0.05
thank,1,0.05
activatormail.com,1,0.05
brt,1,0.05
ion,1,0.05
toole.uol.com.br,1,0.05
prices,1,0.05
qualcomm,1,0.05
accessories,1,0.05
holsters,1,0.05
audiovox,1,0.05
samsung,1,0.05
nokia,1,0.05
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,1,0.05
8.9.1/8.9.1,1,0.05
cellular,1,0.05
removemenow68994,1,0.05
super,1,0.05
00003a16,1,0.05
face,1,0.05
phones,1,0.05
//free4pornlovers.com/simply-amateur/,1,0.05
simply-amateur-zzzz=spamassassin.taint.org,1,0.05
whoring,1,0.05
uid,1,0.05
sluts,1,0.05
free4pornlovers.com,1,0.05
sneeky,1,0.05
photos,1,0.05
list.txt.59,1,0.05
nude,1,0.05
20:57:35,1,0.05
exibitionists,1,0.05
wives,1,0.05
32186,1,0.05
girlfriends,1,0.05
qmail,1,0.05
//free4pornlovers.com/cgi-bin/list-remove.pl,1,0.05
young,1,0.05
amateur,1,0.05
660066,1,0.05
girl,1,0.05
cheating,1,0.05
door.,1,0.05
bordercolor=,1,0.05
990000,1,0.05
mail.free4pornlovers.com,1,0.05
around,1,0.05
tour,1,0.05
hidden,1,0.05
20020822082838.32185.qmail,1,0.05
simply,2,0.1
205.252.89.51,1,0.05
08:28:38,1,0.05
uaa06551,1,0.05
simplyamateur,1,0.05
9933ff,1,0.05
b082544155,1,0.05
invoked,1,0.05
600,1,0.05
ff0099,1,0.05
21:09:14.0437,1,0.05
15:09:11,1,0.05
110d1201c24a20,1,0.05
29b657e0,1,0.05
freelegal,2,0.1
1406fea9,1,0.05
9ea0044157,1,0.05
waa06881,1,0.05
11:03:13,1,0.05
11.180,1,0.05
15:09:13,1,0.05
169.254.6.20,1,0.05
22:34:30,1,0.05
2b392750:01c24a20,1,0.05
aileen,1,0.05
acjkicm0spu/10ngtaoufzrvzedhdw==,1,0.05
qvp0087,1,0.05
email2.qves.net,1,0.05
11:03:17,1,0.05
200208222328.aaa07310,1,0.05
see,2,0.1
activate,1,0.05
width=450,1,0.05
alt=simplywireless.com,1,0.05
additional,1,0.05
8/31/02.,1,0.05
width=150,1,0.05
fee,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_14.gif,1,0.05
06:02:52,1,0.05
width=50,1,0.05
width=265,1,0.05
*free,1,0.05
00:28:12,1,0.05
height=66,1,0.05
height=72,1,0.05
applies,1,0.05
mail-in,1,0.05
available,3,0.15
size=-3,1,0.05
ad_key=qbfuiexorxkl,1,0.05
voicestream,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_04.gif,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_02.gif,1,0.05
style,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_01.gif,1,0.05
valign=top,1,0.05
height=1,1,0.05
width=250,1,0.05
dealer,1,0.05
cell,1,0.05
images/spacer.gif,1,0.05
height=50,1,0.05
height=154,1,0.05
rebate,1,0.05
149.000027ca,1,0.05
wireless,1,0.05
face=arial,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_08.gif,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_09.gif,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_13.gif,1,0.05
site,1,0.05
height=80,1,0.05
activations,1,0.05
11:02:52,1,0.05
16:57:47,1,0.05
width=273,1,0.05
approval,1,0.05
/style,1,0.05
width=65,1,0.05
authorized,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_10.gif,1,0.05
credit,1,0.05
plans,2,0.1
//168.143.181.42/htmlemails/images/t193no_option_06.gif,1,0.05
aaa07310,1,0.05
areas,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_03.gif,1,0.05
hspace=10,1,0.05
ends,1,0.05
activation,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_05.gif,1,0.05
simplywireless.com,1,0.05
height=100,1,0.05
height=82,1,0.05
//168.143.181.42/htmlemails/images/swdotcomlogo1.gif,1,0.05
height=59,1,0.05
colspan=2,1,0.05
width=200,1,0.05
rowspan=2,1,0.05
greater,1,0.05
fulfilled,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_11.gif,1,0.05
height=150,1,0.05
one-time,1,0.05
1fa6f44158,1,0.05
29.99,1,0.05
16:30:32,1,0.05
width=185,1,0.05
colspan=3,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_07.gif,1,0.05
width=115,1,0.05
//168.143.181.42/htmlemails/images/t193no_option_12.gif,1,0.05
200.24.85.9,1,0.05
industry,1,0.05
/body=,1,0.05
method=3dpost,1,0.05
000038c1,1,0.05
bordercolorlight=3d,1,0.05
calls/best,1,0.05
00005639,1,0.05
width=3d350,1,0.05
size=3d2,1,0.05
size=3d6,1,0.05
anytime,1,0.05
conference,1,0.05
every,2,0.1
operator,1,0.05
cents,1,0.05
cellpadding=3d3,1,0.05
http-equiv=3dcontent-type,1,0.05
6.3.1,1,0.05
203186114131.ctinets.com,1,0.05
11:03:26,1,0.05
find,2,0.1
+0800,1,0.05
name=3dbus_phone,1,0.05
name=3dcompany_name,1,0.05
width=3d500,1,0.05
connects,1,0.05
lower,1,0.05
name=3dtype_of_business,1,0.05
quality,2,0.1
charset=3dwindows-12=,1,0.05
width=3d600,1,0.05
fees,1,0.05
submit,1,0.05
value=3dhttp,1,0.05
faa08472,1,0.05
000043de651d,1,0.05
minute,1,0.05
69737,1,0.05
including,2,0.1
setup,1,0.05
contracts,1,0.05
quality/,1,0.05
update,1,0.05
anywhere,1,0.05
action=3dmailto,1,0.05
value=3d,1,0.05
203.186.114.131,1,0.05
name=3dhome_phone,1,0.05
11:02:54,1,0.05
enctype=3dtext/plain,1,0.05
via,1,0.05
40b354415a,1,0.05
align=3dright,1,0.05
333300,1,0.05
made=,1,0.05
05:50:33,1,0.05
face=3darial,1,0.05
tcp,1,0.05
666666,1,0.05
leftmargin=3d0,1,0.05
monthly,1,0.05
server,1,0.05
administration,1,0.05
marketing401.com,1,0.05
uiry,1,0.05
ect=3dremove_conferencing,1,0.05
c0c0c0,1,0.05
name=3dstate,1,0.05
name=3dsubmit,1,0.05
servidor2.partidoliberal.org.co.,1,0.05
weseloh,1,0.05
vlink=3d,1,0.05
ff000=,1,0.05
mfwjs01.mfw.is.co.za,1,0.05
size=3d3,1,0.05
000033,1,0.05
name=3dname,1,0.05
highest,1,0.05
width=3d6=,1,0.05
field,1,0.05
16:44:26,1,0.05
set,1,0.05
5.50.4134.600,1,0.05
24/7,1,0.05
.18,1,0.05
type=3dsubmit,1,0.05
e-business,1,0.05
simplicity,1,0.05
lists,2,0.1
aud.conf,1,0.05
name=3demail,1,0.05
name=3durl,1,0.05
bibsam.kb.se,1,0.05
distance,1,0.05
subject=3daudioc_inq=,1,0.05
06:02:54,1,0.05
width=3d400,1,0.05
/li,1,0.05
mail.aetna.co.nz,1,0.05
participants,1,0.05
distribution,1,0.05
bgcolor=3d,1,0.05
color=3d=,1,0.05
bordercolordark=3d,1,0.05
fon=,1,0.05
size=3d60,1,0.05
ffffcc,1,0.05
conferencing,1,0.05
999999,1,0.05
be=,1,0.05
subj=,1,0.05
-1900,1,0.05
appleshare,1,0.05
month.,1,0.05
link=3d,1,0.05
delete,1,0.05
09:21:37,1,0.05
everywhere,1,0.05
television,1,0.05
pay-per-view,1,0.05
vcr,1,0.05
speeding,1,0.05
controlled,1,0.05
know,1,0.05
mo000f96,1,0.05
another,1,0.05
jammer,1,0.05
answer,1,0.05
jammers,1,0.05
acting,1,0.05
order,1,0.05
detect,1,0.05
gaa08628,1,0.05
12.95,1,0.05
movies,1,0.05
legally,1,0.05
england,1,0.05
check,1,0.05
electronic,1,0.05
68144,1,0.05
contains,1,0.05
price,1,0.05
11:02:56,1,0.05
tobe.co.kr,1,0.05
within,1,0.05
gpg,1,0.05
hard,1,0.05
store,1,0.05
des34newsa,1,0.05
sold,1,0.05
jarrod,1,0.05
plus,1,0.05
software,1,0.05
without,1,0.05
specific,1,0.05
signal,1,0.05
12.00,1,0.05
box,1,0.05
v3.21c,1,0.05
act,2,0.1
assemble,1,0.05
move,1,0.05
parts,1,0.05
23:41:26,1,0.05
ticket,1,0.05
thirty,1,0.05
educational,1,0.05
sporting,1,0.05
across,1,0.05
unit,1,0.05
vechicle,1,0.05
using,1,0.05
police,1,0.05
usa,1,0.05
picture,2,0.1
kit,1,0.05
build,2,0.1
06:38:03,1,0.05
guide,1,0.05
countries,2,0.1
states,1,0.05
spooler,1,0.05
report,1,0.05
descrambler,1,0.05
bonuses,1,0.05
alone,1,0.05
63.186.16.221,1,0.05
bigdog,1,0.05
382,1,0.05
follow,1,0.05
bonus,1,0.05
plan,1,0.05
existing,1,0.05
guarantee,1,0.05
converter,1,0.05
deal,1,0.05
unhappy,1,0.05
up-to-date,1,0.05
completely,1,0.05
tci,1,0.05
refund,1,0.05
12105,1,0.05
cable,1,0.05
11:03:27,1,0.05
reason,2,0.1
watch,1,0.05
14:31:47,1,0.05
mg000f77,1,0.05
manually,1,0.05
reading,1,0.05
jam,1,0.05
19.95,1,0.05
87df44415b,1,0.05
comes,1,0.05
assembly,1,0.05
drawings,1,0.05
special,1,0.05
something,1,0.05
06:02:56,1,0.05
satisfied,1,0.05
14:56:22,1,0.05
frequently,1,0.05
alter,1,0.05
original,1,0.05
omaha,1,0.05
e-z,1,0.05
regular,2,0.1
211.219.114.162,1,0.05
purposes,1,0.05
control,1,0.05
canada,1,0.05
radar,1,0.05
brazil,1,0.05
would,1,0.05
14:31:34,1,0.05
remote,1,0.05
keep,1,0.05
asked,1,0.05
manual,1,0.05
descrambles,1,0.05
included,1,0.05
mercury/32,1,0.05
worth,1,0.05
warning,1,0.05
questions,1,0.05
fiber,1,0.05
1022355f0495,1,0.05
works,1,0.05
richeyg40,1,0.05
11:02:57,1,0.05
08:13:36,1,0.05
mymail.dk,1,0.05
478b54415c,1,0.05
008c61d64eed,1,0.05
7484a2f85c,1,0.05
03:13:31,1,0.05
1349lmrd5-948hyhj3622xxim0-290vzdq6044ffvn0-799husu07l50,1,0.05
bbr_hooten,1,0.05
4bc22de3,1,0.05
61.97.34.233,1,0.05
06:02:57,1,0.05
6184e5d5,1,0.05
10.0.2616,1,0.05
11:03:31,1,0.05
udnugg,1,0.05
jjj,1,0.05
iaa08912,1,0.05
currently,1,0.05
kindly,1,0.05
knowing,1,0.05
till,1,0.05
late,1,0.05
deposited,1,0.05
engage,1,0.05
settled,1,0.05
friend,1,0.05
eighteen,1,0.05
things,1,0.05
06:02:58,1,0.05
gets,1,0.05
confidentiality,1,0.05
sum,1,0.05
personal,1,0.05
11:03:33,1,0.05
safekeeping,1,0.05
200208230914.kaa09351,1,0.05
cry,1,0.05
changed,1,0.05
mobutu,1,0.05
republic,1,0.05
said,1,0.05
d'ivoire,1,0.05
seko,1,0.05
arrangement,1,0.05
remunerationfor,1,0.05
kongolo,1,0.05
assist,1,0.05
joseph,1,0.05
properties,1,0.05
mrs.,1,0.05
congo,1,0.05
africa,1,0.05
swiss,1,0.05
chateaux,1,0.05
modalities,1,0.05
10:14:09,1,0.05
write,1,0.05
study,1,0.05
president,1,0.05
laurent,1,0.05
along,1,0.05
kabila,1,0.05
presentcircumstance,1,0.05
betray,1,0.05
emztd2201.com,1,0.05
billions,1,0.05
multi-national,1,0.05
basher,1,0.05
better,1,0.05
demands,1,0.05
democratic,1,0.05
escaped,1,0.05
spinfinder.com,1,0.05
zaire,1,0.05
united,1,0.05
died,1,0.05
safe,1,0.05
funds,1,0.05
investing,1,0.05
children,1,0.05
taking,1,0.05
kaa09351,1,0.05
a6e494415e,1,0.05
10:15:51,1,0.05
confidential,1,0.05
son,1,0.05
husband's,1,0.05
sons,1,0.05
purpose.best,1,0.05
hence,1,0.05
southern,1,0.05
however,1,0.05
widow,1,0.05
forms,1,0.05
sese,1,0.05
considering,1,0.05
sese-seko,1,0.05
stock,1,0.05
european,1,0.05
moved,1,0.05
confiscated,1,0.05
claim,1,0.05
husband,1,0.05
investments,1,0.05
put,1,0.05
government,1,0.05
interest,1,0.05
behalf.acknowledge,1,0.05
11:02:58,1,0.05
seko_mam,1,0.05
later,1,0.05
france,1,0.05
tell,1,0.05
shall,1,0.05
decided,1,0.05
george,1,0.05
identity,1,0.05
due,1,0.05
emphasise,1,0.05
level,1,0.05
prevent,1,0.05
non-speculative,1,0.05
regards,1,0.05
drc,1,0.05
64.86.155.179,1,0.05
"18,000,000,00",1,0.05
furnish,1,0.05
laying,1,0.05
disease,1,0.05
traced,1,0.05
point,1,0.05
trust,1,0.05
letter,1,0.05
situation,1,0.05
maintained,1,0.05
dead,1,0.05
abidjan,1,0.05
mrs,1,0.05
confidence,1,0.05
buy,1,0.05
coded,1,0.05
content,1,0.05
cote,1,0.05
revealed,1,0.05
repose,1,0.05
french,1,0.05
indicate,1,0.05
introduce,1,0.05
freeze,1,0.05
high,1,0.05
known,1,0.05
morroco,1,0.05
treasures,1,0.05
conclusion,1,0.05
5.00.2919.6900,1,0.05
5ac994415f,1,0.05
//www.newnamedns.com/stopthemailplease/,1,0.05
l11.newnamedns.com,1,0.05
11:02:59,1,0.05
adv,1,0.05
kxzzzzgxlrah,1,0.05
200208230616.g7n6gor28438,1,0.05
moode,1,0.05
term,1,0.05
moment,1,0.05
//www.newnamedns.com/termlife/,1,0.05
06:02:59,1,0.05
10:18:03,1,0.05
carriers,1,0.05
smokers,1,0.05
64.25.38.81,1,0.05
rates,1,0.05
nationwide,1,0.05
11:03:37,1,0.05
accepted,1,0.05
kaa09379,1,0.05
representing,1,0.05
easily,1,0.05
48-72,1,0.05
qualify,1,0.05
02:16:25,1,0.05
safety33o,1,0.05
20:44:01,1,0.05
qvp0083,1,0.05
20:45:45,1,0.05
8f02c4415e,1,0.05
g7mjjjz22185,1,0.05
20:43:42,1,0.05
11:07:47,1,0.05
3021fb90:01c24a14,1,0.05
11:06:32,1,0.05
jaen,1,0.05
2d585440,1,0.05
0e06fea9,1,0.05
5.0.2195.3779,1,0.05
10.132,1,0.05
19:43:28.0713,1,0.05
uaa18963,1,0.05
uaa18925,1,0.05
13:43:27,1,0.05
acjkfc1ylg4+9dg4qykgn3ufp2c1bq==,1,0.05
06:06:32,1,0.05
169.254.6.14,1,0.05
13:43:24,1,0.05
16a78d01c24a14,1,0.05
